prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,171,85,0.4971,0.4971,0.9235,0.9822,5.8051,14.25,0.0,0.0433,0.2875,0.017
The city had changed since the last time she visited.,0.8,1,102,67,0.6569,0.6569,0.9703,1.0,5.6991,6.8,0.0,0.0588,0.2875,0.0134
The city had changed since the last time she visited.,0.8,2,112,68,0.6071,0.6071,0.9369,0.9909,5.5397,8.62,0.0,0.0477,0.225,0.0136
The city had changed since the last time she visited.,0.8,3,92,53,0.5761,0.5761,0.956,1.0,5.2756,5.11,0.0,0.0719,0.325,0.0106
The city had changed since the last time she visited.,0.8,4,68,58,0.8529,0.8529,1.0,1.0,5.7528,3.78,0.0,0.0761,0.1625,0.0116
The city had changed since the last time she visited.,1.0,0,155,84,0.5419,0.5419,0.9221,1.0,5.7399,25.83,0.0,0.016,0.35,0.0168
The city had changed since the last time she visited.,1.0,1,143,78,0.5455,0.5455,0.9155,0.9929,5.6447,15.89,0.0,0.0298,0.45,0.0156
The city had changed since the last time she visited.,1.0,2,109,70,0.6422,0.6422,0.9444,1.0,5.5299,5.45,0.0,0.0509,0.4125,0.014
The city had changed since the last time she visited.,1.0,3,108,73,0.6759,0.6759,1.0,1.0,5.8496,10.8,0.0,0.0286,0.2625,0.0146
The city had changed since the last time she visited.,1.0,4,141,86,0.6099,0.6099,0.9429,1.0,5.8698,17.62,0.0,0.0378,0.2875,0.0172
"After the rain stopped, the streets were quiet and still.",0.8,0,161,72,0.4472,0.4472,0.8812,0.9874,5.4457,16.1,0.0,0.0366,0.575,0.0144
"After the rain stopped, the streets were quiet and still.",0.8,1,106,59,0.5566,0.5566,0.8571,0.9808,5.024,11.78,0.0,0.0423,0.5375,0.0118
"After the rain stopped, the streets were quiet and still.",0.8,2,134,80,0.597,0.597,0.9023,0.9697,5.615,8.38,0.0,0.0353,0.4125,0.016
"After the rain stopped, the streets were quiet and still.",0.8,3,95,58,0.6105,0.6105,0.9362,1.0,5.1191,8.64,0.0,0.0406,0.35,0.0116
"After the rain stopped, the streets were quiet and still.",0.8,4,66,51,0.7727,0.7727,0.9692,1.0,5.5367,2.87,0.0,0.0826,0.225,0.0102
"After the rain stopped, the streets were quiet and still.",1.0,0,142,85,0.5986,0.5986,0.9362,1.0,5.9575,15.78,0.0,0.0289,0.4125,0.017
"After the rain stopped, the streets were quiet and still.",1.0,1,116,75,0.6466,0.6466,0.9565,1.0,5.4993,19.33,0.0,0.0307,0.2875,0.015
"After the rain stopped, the streets were quiet and still.",1.0,2,145,90,0.6207,0.6207,0.9722,1.0,6.0257,18.12,0.0,0.0286,0.2875,0.018
"After the rain stopped, the streets were quiet and still.",1.0,3,141,93,0.6596,0.6596,0.9571,0.9928,6.2253,10.85,0.0,0.0478,0.35,0.0186
"After the rain stopped, the streets were quiet and still.",1.0,4,118,77,0.6525,0.6525,0.9658,1.0,5.6848,13.11,0.0,0.0413,0.35,0.0154
He opened the book to a random page and began to read.,0.8,0,148,76,0.5135,0.5135,0.9184,0.9932,5.5692,37.0,0.0,0.0504,0.4875,0.0152
He opened the book to a random page and began to read.,0.8,1,120,69,0.575,0.575,0.9244,1.0,5.5537,9.23,0.0,0.0566,0.2875,0.0138
He opened the book to a random page and began to read.,0.8,2,112,56,0.5,0.5,0.8468,0.9909,4.9583,10.18,0.0,0.0373,0.5375,0.0112
He opened the book to a random page and began to read.,0.8,3,83,61,0.7349,0.7349,1.0,1.0,5.7272,3.77,0.0,0.1093,0.2625,0.0122
He opened the book to a random page and began to read.,0.8,4,178,72,0.4045,0.4045,0.8531,0.9716,5.5138,14.83,0.0,0.0612,0.575,0.0144
He opened the book to a random page and began to read.,1.0,0,173,91,0.526,0.526,0.9244,1.0,6.0527,17.3,0.0,0.0408,0.3875,0.0182
He opened the book to a random page and began to read.,1.0,1,176,72,0.4091,0.4091,0.8514,0.9598,5.358,12.57,0.0,0.0636,0.7,0.0144
He opened the book to a random page and began to read.,1.0,2,106,70,0.6604,0.6604,0.981,1.0,5.6399,9.64,0.0,0.0547,0.225,0.014
He opened the book to a random page and began to read.,1.0,3,154,94,0.6104,0.6104,0.9412,0.9868,6.2015,14.0,0.0,0.0399,0.2875,0.0188
He opened the book to a random page and began to read.,1.0,4,174,86,0.4943,0.4943,0.9538,1.0,6.0618,15.82,0.0,0.0468,0.225,0.0172
